Product_ID,Product_Category,Current_Stock,Supplier_Cost_USD,Lead_Time_Days,Daily_Sales_Velocity,Supplier_Name,Market_Trend_Score,Retail_Price_USD
GT-PROD-00172,Smart Home Hubs,430,1200.68,26,11.9,InnoVision,26,1900.94
GT-PROD-00173,Wearables,379,1200.68,29,11.9,InnoVision,14,1584.12
GT-PROD-00174,Drones,482,1200.68,20,11.9,InnoVision,78,1511.6
GT-PROD-00175,High-End Laptops,451,1200.68,13,11.9,InnoVision,81,1781.16
GT-PROD-00176,Drones,184,1200.68,12,11.9,TechCorp,77,1606.11
GT-PROD-00177,Smartphones,161,1200.68,13,11.9,NextGen Supply,69,1626.15
GT-PROD-00178,VR Headsets,352,1200.68,24,11.9,TechCorp,76,1894.74
GT-PROD-00179,Smart Home Hubs,5,1200.68,23,11.9,InnoVision,50,1515.29
GT-PROD-00180,High-End Laptops,224,1200.68,13,11.9,InnoVision,91,1514.48
GT-PROD-00181,High-End Laptops,309,1200.68,26,11.9,TechCorp,31,1845.61
GT-PROD-00182,Drones,13,1200.68,5,11.9,InnoVision,39,1857.21
GT-PROD-00183,High-End Laptops,107,1200.68,25,11.9,TechCorp,69,1763.58
GT-PROD-00184,Wearables,282,1200.68,13,11.9,InnoVision,98,1870.22
GT-PROD-00185,High-End Laptops,51,1200.68,28,11.9,GlobalCircuits,90,1527.47
GT-PROD-00186,AI Processors,326,1200.68,16,11.9,TechCorp,30,1604.18
GT-PROD-00187,Smart Home Hubs,14,1200.68,11,11.9,NextGen Supply,98,1664.95
GT-PROD-00188,Smartphones,57,1200.68,11,11.9,InnoVision,46,1839.19
GT-PROD-00189,VR Headsets,163,1200.68,17,11.9,GlobalCircuits,79,1644.85
GT-PROD-00190,High-End Laptops,420,1200.68,24,11.9,NextGen Supply,92,1472
GT-PROD-00191,AI Processors,284,1200.68,5,11.9,GlobalCircuits,28,1910.23
GT-PROD-00192,AI Processors,291,1200.68,23,11.9,TechCorp,87,1866.11
GT-PROD-00193,Drones,380,1200.68,11,11.9,InnoVision,58,1715.68
GT-PROD-00194,VR Headsets,266,1200.68,24,11.9,GlobalCircuits,73,1592.37
GT-PROD-00195,Wearables,238,1200.68,27,11.9,InnoVision,95,1786.49
GT-PROD-00196,Wearables,170,1200.68,25,11.9,InnoVision,37,1711.08
GT-PROD-00197,Drones,397,1200.68,17,11.9,InnoVision,76,1734.19
GT-PROD-00198,Smartphones,293,1200.68,23,11.9,NextGen Supply,47,1632.95
GT-PROD-00199,VR Headsets,101,1200.68,9,11.9,GlobalCircuits,95,1752.59
GT-PROD-00200,Smartphones,170,1200.68,21,11.9,TechCorp,40,1875.36
GT-PROD-00201,Wearables,453,1200.68,21,11.9,TechCorp,32,1597.24
GT-PROD-00202,Smart Home Hubs,336,1200.68,6,11.9,NextGen Supply,33,1508.62
GT-PROD-00203,Smart Home Hubs,480,1200.68,9,11.9,NextGen Supply,12,1632.45
GT-PROD-00204,Smartphones,127,1200.68,29,11.9,InnoVision,87,1681.77
GT-PROD-00205,High-End Laptops,198,1200.68,6,11.9,InnoVision,39,1528.67
GT-PROD-00206,Wearables,219,1200.68,20,11.9,TechCorp,26,1587.86
GT-PROD-00207,VR Headsets,205,1200.68,7,11.9,TechCorp,84,1440.83
GT-PROD-00208,Smartphones,477,1200.68,18,11.9,InnoVision,93,1600.54
GT-PROD-00209,VR Headsets,403,1200.68,26,11.9,InnoVision,20,1917.9
GT-PROD-00210,Smart Home Hubs,426,1200.68,23,11.9,InnoVision,78,1821
GT-PROD-00211,Smartphones,44,1200.68,8,11.9,TechCorp,70,1547.23
GT-PROD-00212,Wearables,104,1200.68,27,11.9,TechCorp,82,1493.04
GT-PROD-00213,Smart Home Hubs,92,1200.68,18,11.9,NextGen Supply,74,1470.46
GT-PROD-00214,Smartphones,126,1200.68,12,11.9,GlobalCircuits,50,1741.46
GT-PROD-00215,VR Headsets,130,1200.68,15,11.9,GlobalCircuits,17,1834.02
GT-PROD-00216,High-End Laptops,194,1200.68,19,11.9,GlobalCircuits,85,1454.28
GT-PROD-00217,Smartphones,185,1200.68,5,11.9,TechCorp,62,1836.79
GT-PROD-00218,Smart Home Hubs,109,1200.68,14,11.9,GlobalCircuits,14,1446.87
GT-PROD-00219,AI Processors,40,1200.68,26,11.9,GlobalCircuits,53,1897.81
GT-PROD-00220,AI Processors,440,1200.68,20,11.9,TechCorp,96,1906.94
GT-PROD-00221,VR Headsets,108,1200.68,25,11.9,GlobalCircuits,97,1739.83
GT-PROD-00222,High-End Laptops,452,1200.68,23,11.9,InnoVision,45,1444.12
GT-PROD-00223,Wearables,226,1200.68,24,11.9,GlobalCircuits,34,1551.87
GT-PROD-00224,High-End Laptops,108,1200.68,29,11.9,TechCorp,53,1579.04
GT-PROD-00225,Smartphones,301,1200.68,26,11.9,InnoVision,81,1525.21
GT-PROD-00226,AI Processors,91,1200.68,6,11.9,GlobalCircuits,34,1489.76
GT-PROD-00227,Drones,253,1200.68,24,11.9,InnoVision,17,1735.62
GT-PROD-00228,Wearables,408,1200.68,9,11.9,InnoVision,43,1846.19
GT-PROD-00229,Smartphones,457,1200.68,19,11.9,NextGen Supply,79,1604.43
GT-PROD-00230,AI Processors,494,1200.68,22,11.9,TechCorp,57,1484.68
GT-PROD-00231,Drones,400,1200.68,13,11.9,InnoVision,96,1868.33
GT-PROD-00232,High-End Laptops,416,1200.68,22,11.9,InnoVision,64,1536.04
GT-PROD-00233,High-End Laptops,371,1200.68,10,11.9,GlobalCircuits,53,1520.52
GT-PROD-00234,Wearables,158,1200.68,15,11.9,TechCorp,18,1803.49
GT-PROD-00235,High-End Laptops,368,1200.68,7,11.9,TechCorp,16,1480.01
GT-PROD-00236,Drones,75,1200.68,26,11.9,TechCorp,52,1826.02
GT-PROD-00237,Smart Home Hubs,231,1200.68,23,11.9,InnoVision,73,1549.62
GT-PROD-00238,Wearables,22,1200.68,9,11.9,NextGen Supply,81,1864.44
GT-PROD-00239,Smartphones,317,1200.68,21,11.9,GlobalCircuits,81,1792.85
GT-PROD-00240,Smartphones,297,1200.68,19,11.9,NextGen Supply,63,1642.89
GT-PROD-00241,AI Processors,320,1200.68,5,11.9,InnoVision,21,1652.66
GT-PROD-00242,High-End Laptops,348,1200.68,13,11.9,GlobalCircuits,77,1916.6
GT-PROD-00243,Wearables,138,1200.68,11,11.9,GlobalCircuits,14,1491.59
GT-PROD-00244,High-End Laptops,403,1200.68,15,11.9,GlobalCircuits,20,1459.74
GT-PROD-00245,AI Processors,467,1200.68,22,11.9,InnoVision,41,1908.31
GT-PROD-00246,Drones,300,1200.68,19,11.9,TechCorp,24,1670.15
GT-PROD-00247,Smartphones,465,1200.68,12,11.9,TechCorp,79,1859.39
GT-PROD-00248,High-End Laptops,80,1200.68,22,11.9,NextGen Supply,61,1491.21
GT-PROD-00249,Smart Home Hubs,354,1200.68,6,11.9,InnoVision,71,1644.98
GT-PROD-00250,High-End Laptops,61,1200.68,15,11.9,GlobalCircuits,63,1804.24
GT-PROD-00251,Drones,135,1200.68,7,11.9,InnoVision,83,1592.46
GT-PROD-00252,VR Headsets,79,1200.68,4,11.9,InnoVision,97,1830.91
GT-PROD-00253,Drones,417,1200.68,10,11.9,InnoVision,22,1916.82
GT-PROD-00254,Drones,290,1200.68,15,11.9,InnoVision,38,1709.92
GT-PROD-00255,Wearables,115,1200.68,15,11.9,NextGen Supply,64,1670.8
GT-PROD-00256,Smartphones,178,1200.68,9,11.9,NextGen Supply,32,1781.05
GT-PROD-00257,AI Processors,153,1200.68,23,11.9,TechCorp,80,1557.88
GT-PROD-00258,VR Headsets,265,1200.68,11,11.9,TechCorp,15,1771.65
GT-PROD-00259,High-End Laptops,393,1200.68,15,11.9,InnoVision,75,1516.07
GT-PROD-00260,Smartphones,384,1200.68,21,11.9,InnoVision,66,1799.98
GT-PROD-00261,Smartphones,83,1200.68,28,11.9,InnoVision,97,1700.02
GT-PROD-00262,Wearables,117,1200.68,24,11.9,TechCorp,86,1614.01
GT-PROD-00263,Smart Home Hubs,21,1200.68,9,11.9,NextGen Supply,38,1449.6
GT-PROD-00264,Smartphones,389,1200.68,11,11.9,NextGen Supply,39,1579.11
GT-PROD-00265,Wearables,75,1200.68,9,11.9,GlobalCircuits,39,1759.92
GT-PROD-00266,High-End Laptops,441,1200.68,7,11.9,InnoVision,82,1658.85
GT-PROD-00267,Smartphones,35,1200.68,29,11.9,InnoVision,38,1537.61
GT-PROD-00268,Smartphones,415,1200.68,14,11.9,InnoVision,59,1895.55
GT-PROD-00269,Smartphones,226,1200.68,7,11.9,InnoVision,59,1502.16
GT-PROD-00270,Smartphones,355,1200.68,23,11.9,InnoVision,33,1518.56
GT-PROD-00271,VR Headsets,105,1200.68,23,11.9,InnoVision,20,1723.84
GT-PROD-00272,VR Headsets,82,1200.68,11,11.9,GlobalCircuits,62,1821.71
GT-PROD-00273,High-End Laptops,71,1200.68,22,11.9,GlobalCircuits,98,1463.46
GT-PROD-00274,Wearables,93,1200.68,21,11.9,InnoVision,51,1556.56
GT-PROD-00275,VR Headsets,312,1200.68,14,11.9,TechCorp,72,1685.06
GT-PROD-00276,High-End Laptops,375,1200.68,8,11.9,GlobalCircuits,93,1661.78
GT-PROD-00277,Drones,9,1200.68,10,11.9,GlobalCircuits,67,1717.13
GT-PROD-00278,Drones,221,1200.68,8,11.9,NextGen Supply,46,1661.98
GT-PROD-00279,High-End Laptops,89,1200.68,28,11.9,GlobalCircuits,65,1822.11
GT-PROD-00280,AI Processors,238,1200.68,12,11.9,InnoVision,51,1546.72
GT-PROD-00281,Smart Home Hubs,301,1200.68,9,11.9,GlobalCircuits,36,1657.15
GT-PROD-00282,AI Processors,111,1200.68,24,11.9,InnoVision,85,1798.8
GT-PROD-00283,Drones,253,1200.68,26,11.9,NextGen Supply,69,1683.04
GT-PROD-00284,Wearables,87,1200.68,24,11.9,TechCorp,43,1813.46
GT-PROD-00285,High-End Laptops,499,1200.68,22,11.9,NextGen Supply,73,1727.33
GT-PROD-00286,AI Processors,133,1200.68,5,11.9,GlobalCircuits,70,1474.24
GT-PROD-00287,High-End Laptops,123,1200.68,24,11.9,GlobalCircuits,67,1805.43
GT-PROD-00288,Smart Home Hubs,346,1200.68,24,11.9,NextGen Supply,97,1595.45
GT-PROD-00289,VR Headsets,362,1200.68,28,11.9,TechCorp,33,1845.28
GT-PROD-00290,Drones,423,1200.68,14,11.9,InnoVision,37,1894.32
GT-PROD-00291,Wearables,142,1200.68,9,11.9,InnoVision,81,1681.8
GT-PROD-00292,Drones,421,1200.68,23,11.9,TechCorp,72,1625.43
GT-PROD-00293,Drones,74,1200.68,12,11.9,GlobalCircuits,98,1576.39
GT-PROD-00294,Drones,7,1200.68,5,11.9,InnoVision,89,1904.51
GT-PROD-00295,Drones,307,1200.68,24,11.9,TechCorp,67,1878.74
GT-PROD-00296,AI Processors,377,1200.68,7,11.9,InnoVision,43,1696.5
GT-PROD-00297,Smartphones,177,1200.68,5,11.9,TechCorp,75,1530.38
GT-PROD-00298,Smartphones,51,1200.68,28,11.9,InnoVision,65,1598.67
GT-PROD-00299,AI Processors,344,1200.68,22,11.9,NextGen Supply,39,1585
GT-PROD-00300,VR Headsets,49,1200.68,21,11.9,GlobalCircuits,86,1612.72
GT-PROD-00301,Smartphones,10,1200.68,12,11.9,InnoVision,24,1854.32
GT-PROD-00302,Wearables,426,1200.68,17,11.9,NextGen Supply,80,1512.03
GT-PROD-00303,AI Processors,456,1200.68,28,11.9,InnoVision,11,1777.32
GT-PROD-00304,Wearables,276,1200.68,9,11.9,TechCorp,65,1785.45
GT-PROD-00305,Wearables,288,1200.68,4,11.9,InnoVision,60,1763.33
GT-PROD-00306,VR Headsets,292,1200.68,25,11.9,InnoVision,91,1677.38
GT-PROD-00307,AI Processors,145,1200.68,22,11.9,GlobalCircuits,82,1739.45
GT-PROD-00308,Smart Home Hubs,71,1200.68,23,11.9,GlobalCircuits,16,1693.1
GT-PROD-00309,Drones,293,1200.68,15,11.9,GlobalCircuits,43,1508.55
GT-PROD-00310,Smart Home Hubs,243,1200.68,13,11.9,GlobalCircuits,78,1842.62
GT-PROD-00311,High-End Laptops,479,1200.68,4,11.9,TechCorp,21,1626.04
GT-PROD-00312,Smartphones,287,1200.68,3,11.9,TechCorp,80,1756.59
GT-PROD-00313,AI Processors,447,1200.68,5,11.9,TechCorp,25,1667.67
GT-PROD-00314,Smart Home Hubs,432,1200.68,12,11.9,NextGen Supply,41,1445.94
GT-PROD-00315,Smart Home Hubs,89,1200.68,23,11.9,NextGen Supply,23,1772.95
GT-PROD-00316,Drones,168,1200.68,11,11.9,NextGen Supply,30,1473.71
